film,character,words
The Fellowship Of The Ring,Aragorn,920
The Fellowship Of The Ring,Arwen,235
The Fellowship Of The Ring,Bilbo,1310
The Fellowship Of The Ring,Boromir,943
The Fellowship Of The Ring,Celeborn,160
The Fellowship Of The Ring,Elrond,557
The Fellowship Of The Ring,Farmer Maggot,21
The Fellowship Of The Ring,Frodo,967
The Fellowship Of The Ring,Gaffer,21
The Fellowship Of The Ring,Galadriel,994
The Fellowship Of The Ring,Gandalf,2360
The Fellowship Of The Ring,Gatekeeper,38
The Fellowship Of The Ring,Gimli,431
The Fellowship Of The Ring,Haldir,70
The Fellowship Of The Ring,Hobbit Kids,10
The Fellowship Of The Ring,Hobbits,88
The Fellowship Of The Ring,Innkeeper,76
The Fellowship Of The Ring,Isildur,1
The Fellowship Of The Ring,Legolas,184
The Fellowship Of The Ring,Lobelia Sackville-Baggins,9
The Fellowship Of The Ring,Lurtz,7
The Fellowship Of The Ring,Man,17
The Fellowship Of The Ring,Merry,323
The Fellowship Of The Ring,Mrs. Bracegirdle,2
The Fellowship Of The Ring,Orc,20
The Fellowship Of The Ring,Pippin,274
The Fellowship Of The Ring,Proudfoot,1
The Fellowship Of The Ring,Rosie,3
The Fellowship Of The Ring,Sam,557
The Fellowship Of The Ring,Sandyman,17
The Fellowship Of The Ring,Saruman,480
The Fellowship Of The Ring,Ted,55
The Fellowship Of The Ring,Voice Of Sauron,7
The Fellowship Of The Ring,Voice Of The Ring,34
The Return Of The King,Aragorn,580
The Return Of The King,Arwen,115
The Return Of The King,Bilbo,56
The Return Of The King,Boson,7
The Return Of The King,Damrod,4
The Return Of The King,Deagol,13
The Return Of The King,Denethor,560
The Return Of The King,Elrond,240
The Return Of The King,Eomer,166
The Return Of The King,Eowyn,268
The Return Of The King,Faramir,337
The Return Of The King,Figwit,7
The Return Of The King,Frodo,650
The Return Of The King,Galadriel,68
The Return Of The King,Gamling,22
The Return Of The King,Gandalf,1504
The Return Of The King,Gimli,313
The Return Of The King,Gondor Man,81
The Return Of The King,Gothmog,93
The Return Of The King,Grima Wormtongue,2
The Return Of The King,Grimhold,9
The Return Of The King,Grobag,23
The Return Of The King,Hobbits,4
The Return Of The King,Irolas,20
The Return Of The King,Legolas,263
The Return Of The King,Madril,36
The Return Of The King,Mercenary,6
The Return Of The King,Merry,398
The Return Of The King,Mouth Of Sauron,87
The Return Of The King,Orc,173
The Return Of The King,Pippin,628
The Return Of The King,Rohan Warrior,64
The Return Of The King,Rosie,2
The Return Of The King,Sam,924
The Return Of The King,Saruman,301
The Return Of The King,Shagrat,90
The Return Of The King,Theoden,565
The Return Of The King,Voice Of Sauron,2
The Two Towers,Aragorn,822
The Two Towers,Arwen,141
The Two Towers,Boromir,134
The Two Towers,Crowd,6
The Two Towers,Denethor,250
The Two Towers,Elrond,243
The Two Towers,Eomer,273
The Two Towers,Eothain,2
The Two Towers,Eowyn,349
The Two Towers,Faramir,489
The Two Towers,Freda,28
The Two Towers,Frodo,664
The Two Towers,Galadriel,190
The Two Towers,Gamling,85
The Two Towers,Gandalf,964
The Two Towers,Gimli,521
The Two Towers,Gondor Man,127
The Two Towers,Grima Wormtongue,416
The Two Towers,Grishnakh,72
The Two Towers,Haldir,37
The Two Towers,Haleth,23
The Two Towers,Hama,53
The Two Towers,Legolas,233
The Two Towers,Mauhur,2
The Two Towers,Merry,396
The Two Towers,Morwen,39
The Two Towers,Orc,49
The Two Towers,Pippin,359
The Two Towers,Rohan Maiden,24
The Two Towers,Rohan Warrior,97
The Two Towers,Sam,1044
The Two Towers,Saruman,309
The Two Towers,Snaga,10
The Two Towers,Theoden,762
The Two Towers,Ugluk,84
The Two Towers,Uruk-hai,13
The Two Towers,Wild Man,11
