film,character,words_prop
The Fellowship Of The Ring,Aragorn,920/11192
The Fellowship Of The Ring,Arwen,235/11192
The Fellowship Of The Ring,Bilbo,1310/11192
The Fellowship Of The Ring,Boromir,943/11192
The Fellowship Of The Ring,Celeborn,160/11192
The Fellowship Of The Ring,Elrond,557/11192
The Fellowship Of The Ring,Farmer Maggot,21/11192
The Fellowship Of The Ring,Frodo,967/11192
The Fellowship Of The Ring,Gaffer,21/11192
The Fellowship Of The Ring,Galadriel,994/11192
The Fellowship Of The Ring,Gandalf,2360/11192
The Fellowship Of The Ring,Gatekeeper,38/11192
The Fellowship Of The Ring,Gimli,431/11192
The Fellowship Of The Ring,Haldir,70/11192
The Fellowship Of The Ring,Hobbit Kids,10/11192
The Fellowship Of The Ring,Hobbits,88/11192
The Fellowship Of The Ring,Innkeeper,76/11192
The Fellowship Of The Ring,Isildur,1/11192
The Fellowship Of The Ring,Legolas,184/11192
The Fellowship Of The Ring,Lobelia Sackville-Baggins,9/11192
The Fellowship Of The Ring,Lurtz,7/11192
The Fellowship Of The Ring,Man,17/11192
The Fellowship Of The Ring,Merry,323/11192
The Fellowship Of The Ring,Mrs. Bracegirdle,2/11192
The Fellowship Of The Ring,Orc,20/11192
The Fellowship Of The Ring,Pippin,274/11192
The Fellowship Of The Ring,Proudfoot,1/11192
The Fellowship Of The Ring,Rosie,3/11192
The Fellowship Of The Ring,Sam,557/11192
The Fellowship Of The Ring,Sandyman,17/11192
The Fellowship Of The Ring,Saruman,480/11192
The Fellowship Of The Ring,Ted,55/11192
The Fellowship Of The Ring,Voice Of Sauron,7/11192
The Fellowship Of The Ring,Voice Of The Ring,34/11192
The Return Of The King,Aragorn,580/8681
The Return Of The King,Arwen,115/8681
The Return Of The King,Bilbo,56/8681
The Return Of The King,Boson,7/8681
The Return Of The King,Damrod,4/8681
The Return Of The King,Deagol,13/8681
The Return Of The King,Denethor,560/8681
The Return Of The King,Elrond,240/8681
The Return Of The King,Eomer,166/8681
The Return Of The King,Eowyn,268/8681
The Return Of The King,Faramir,337/8681
The Return Of The King,Figwit,7/8681
The Return Of The King,Frodo,650/8681
The Return Of The King,Galadriel,68/8681
The Return Of The King,Gamling,22/8681
The Return Of The King,Gandalf,1504/8681
The Return Of The King,Gimli,313/8681
The Return Of The King,Gondor Man,81/8681
The Return Of The King,Gothmog,93/8681
The Return Of The King,Grima Wormtongue,2/8681
The Return Of The King,Grimhold,9/8681
The Return Of The King,Grobag,23/8681
The Return Of The King,Hobbits,4/8681
The Return Of The King,Irolas,20/8681
The Return Of The King,Legolas,263/8681
The Return Of The King,Madril,36/8681
The Return Of The King,Mercenary,6/8681
The Return Of The King,Merry,398/8681
The Return Of The King,Mouth Of Sauron,87/8681
The Return Of The King,Orc,173/8681
The Return Of The King,Pippin,628/8681
The Return Of The King,Rohan Warrior,64/8681
The Return Of The King,Rosie,2/8681
The Return Of The King,Sam,924/8681
The Return Of The King,Saruman,301/8681
The Return Of The King,Shagrat,90/8681
The Return Of The King,Theoden,565/8681
The Return Of The King,Voice Of Sauron,2/8681
The Two Towers,Aragorn,822/9321
The Two Towers,Arwen,141/9321
The Two Towers,Boromir,134/9321
The Two Towers,Crowd,6/9321
The Two Towers,Denethor,250/9321
The Two Towers,Elrond,243/9321
The Two Towers,Eomer,273/9321
The Two Towers,Eothain,2/9321
The Two Towers,Eowyn,349/9321
The Two Towers,Faramir,489/9321
The Two Towers,Freda,28/9321
The Two Towers,Frodo,664/9321
The Two Towers,Galadriel,190/9321
The Two Towers,Gamling,85/9321
The Two Towers,Gandalf,964/9321
The Two Towers,Gimli,521/9321
The Two Towers,Gondor Man,127/9321
The Two Towers,Grima Wormtongue,416/9321
The Two Towers,Grishnakh,72/9321
The Two Towers,Haldir,37/9321
The Two Towers,Haleth,23/9321
The Two Towers,Hama,53/9321
The Two Towers,Legolas,233/9321
The Two Towers,Mauhur,2/9321
The Two Towers,Merry,396/9321
The Two Towers,Morwen,39/9321
The Two Towers,Orc,49/9321
The Two Towers,Pippin,359/9321
The Two Towers,Rohan Maiden,24/9321
The Two Towers,Rohan Warrior,97/9321
The Two Towers,Sam,1044/9321
The Two Towers,Saruman,309/9321
The Two Towers,Snaga,10/9321
The Two Towers,Theoden,762/9321
The Two Towers,Ugluk,84/9321
The Two Towers,Uruk-hai,13/9321
The Two Towers,Wild Man,11/9321
